IBE,LAC,CO,Organization,Country,O,IC,NIwL,WCN,%Q1,%Exc,%Lead,%EwL,STP,IK,TI,Pat,%OA,Not OJ,OP
210,139,1,Universidad de las Fuerzas Armadas,ECU,1210,"54,88","0,93","0,95","13,72","8,6","69,34","5,54","0,03","0,00","0,17",0,"28,6",1210,0
216,144,2,Universidad San Francisco de Quito,ECU,1140,"83,51","0,74","0,78","59,74","23,33","33,77","2,02","0,01","0,01","0,28",0,"44,56",1140,0
221,148,3,Escuela Politecnica Nacional,ECU,1079,"72,2","0,89","0,9","33,73","11,77","54,03","4,36","0,02","0,01","0,38",0,"26,69",1079,0
229,155,4,Escuela Superior Politecnica del Litoral,ECU,1035,"66,47","0,94","0,94","27,25","10,14","62,32","3,96","0,02","0,01","0,31",0,"26,76",1035,0
242,168,5,Universidad Tecnica Particular de Loja,ECU,946,"64,16","1,11","1,12","25,69","12,37","66,6","7,61","0,02","0,00","0,11",3,"29,28",946,0
272,193,6,Pontificia Universidad Catolica del Ecuador,ECU,750,"71,2","0,69","0,72","39,2","11,73","48,67","3,33","0,01","0,01","0,43",2,"54,4",750,0
280,201,7,Universidad Politecnica Salesiana,ECU,713,"63,81","1,01","1,02","10,66","9,26","76,02","5,75","0,01","0,00","0,29",0,"17,67",713,0
287,206,8,Universidad de Cuenca,ECU,684,"72,51","0,88","0,91","34,21","11,7","55,56","4,09","0,01","0,00","0,31",0,"38,16",684,0
354,266,9,Universidad Central del Ecuador,ECU,464,"71,55","0,42","0,45","39,01","9,05","40,09","2,16","0,01","0,00",0,0,"56,9",464,0
367,278,10,Universidad de Guayaquil,ECU,420,"48,57","0,21","0,22","7,62","3,33","63,1","0,95","0,01","0,00",0,0,"33,1",420,0
380,291,11,Universidad Tecnica de Ambato,ECU,391,"48,59","0,72","0,64","12,28","6,91","63,94","2,3","0,01","0,00","0,53",0,"38,11",391,0
387,297,12,"Universidad de Las Americas, Ecuador",ECU,376,"69,41","1,21","1,2","34,31","12,5","55,05","5,85","0,01","0,00","0,57",0,"39,1",376,0
414,323,13,Universidad de Especialidades Espiritu Santo,ECU,317,"74,45","0,57","0,59","30,28","8,2","66,56","4,42","0,00","0,00","0,37",0,"41,96",317,0
425,334,14,Escuela Superior Politecnica de Chimborazo,ECU,293,"61,77","0,32","0,32","19,8","6,14","47,78","2,05","0,01","0,00",0,0,"47,44",293,0
425,334,14,Universidad de Investigacion de Tecnologia Experimental Yachay,ECU,293,"89,76","0,73","0,91","55,63","12,63","35,15","3,41","0,00","0,00","0,36",0,"37,88",293,0
438,346,15,Universidad Tecnologica Equinoccial,ECU,261,"67,05","0,49","0,54","32,95","10,34","51,72","1,92","0,00","0,00","0,41",0,"42,53",261,0
439,347,16,Universidad Nacional de Chimborazo,ECU,259,"63,32","0,46","0,51","16,99","7,34","71,04","3,86","0,00","0,00",0,0,"41,7",259,0
451,358,17,Universidad Estatal Amazonica,ECU,237,"86,08","0,49","0,54","28,69","13,08","50,63","2,95","0,00","0,00",0,0,"61,6",237,0
468,374,18,Universidad Catolica de Santiago de Guayaquil,ECU,206,"74,76","0,47","0,51","26,7","8,25","45,15","2,91","0,00","0,00","0,62",0,"38,35",206,0
477,383,19,"Facultad Latinoamericana de Ciencias Sociales, Ecuador",ECU,188,50,"0,47","0,5",25,"6,38","73,94","3,19","0,00","0,00",0,0,"43,09",188,0
480,386,20,Universidad Tecnica de Machala,ECU,184,"63,04","0,63","0,69","18,48","9,24","63,59","4,35","0,01","0,00",0,0,"36,96",184,0
491,396,21,Universidad Tecnica Estatal de Quevedo,ECU,167,"81,44","0,61","0,67","12,57","4,79","49,1","1,8","0,00","0,00",0,0,"64,67",167,0
495,400,22,Universidad Laica Eloy Alfaro de Manabi,ECU,163,"77,91","0,51","0,54","29,45","8,59","55,83","3,68","0,00","0,00",0,0,"35,58",163,0
499,404,23,Universidad Tecnica del Norte,ECU,158,"61,39","1,09","1,08","18,35","10,13","51,9","4,43","0,00","0,00","0,65",0,"36,71",158,0
508,413,24,Universidad del Azuay,ECU,146,"58,9","0,55","0,54","20,55","6,16","50,68","0,68","0,00","0,00",0,0,"30,82",146,0
511,416,25,Universidad Nacional de Loja,ECU,142,"66,2","0,72","0,75","31,69","13,38","45,77","4,93","0,00","0,00",0,0,"41,55",142,0
511,416,25,Universidad Tecnologica Indoamerica,ECU,142,"76,06","0,79","0,82","35,92","11,97","43,66","4,93","0,00","0,00","0,75",0,"52,82",142,0
518,423,26,Universidad Estatal Peninsula de Santa Elena,ECU,133,"77,44","0,72","0,72","24,06","6,02","46,62","2,26","0,00","0,00",0,0,"28,57",133,0
527,432,27,Universidad Internacional del Ecuador,ECU,120,"47,5","1,6","1,58","24,17","21,67","49,17",10,"0,00","0,00",0,0,40,120,0
535,440,28,Universidad Catolica de Cuenca,ECU,110,"55,45","0,56","0,57","6,36","4,55",60,"2,73","0,00","0,00","0,94",0,"36,36",110,0
537,442,29,Universidad Tecnica de Manabi,ECU,108,"83,33","0,3","0,33","24,07","2,78","44,44","1,85","0,00","0,00",0,0,"51,85",108,0
539,444,30,Universidad Regional Amazonica Ikiam,ECU,106,"79,25","0,61","0,64","49,06","11,32","44,34","0,94","0,00","0,00",0,0,"46,23",106,0
554,457,31,Universidad Agraria del Ecuador,ECU,91,"57,14","0,22","0,25","12,09","2,2","64,84","1,1","0,00","0,00",0,0,"30,77",91,0
554,457,31,Universidad Estatal de Milagro,ECU,91,"71,43","0,21","0,24","14,29","2,2","50,55","1,1","0,00","0,00",0,0,"34,07",91,0
556,459,32,Universidad Tecnica de Cotopaxi,ECU,89,"76,4","0,46","0,55","6,74","3,37","42,7","1,12","0,00","0,00",0,0,"60,67",89,0
576,478,33,Universidad Internacional SEK Ecuador,ECU,67,"64,18","0,55","0,53","23,88","5,97","52,24",0,"0,00","0,00",0,0,"47,76",67,0
592,494,34,"Universidad Andina Simon Bolivar, Ecuador",ECU,50,52,"0,51","0,53",34,8,66,4,"0,00","0,00",0,0,50,50,0
596,498,35,Universidad Estatal de Bolivar,ECU,46,"60,87","0,71","0,27","17,39","6,52","43,48",0,"0,00","0,00",0,0,"63,04",46,0
